make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Acura,MDX AWD A-SPEC,21.3495,Automatic,9,AWD,3.5,6,Sm SUV,Y,Natural,Premium,None,N
Acura,MDX FWD,23,Automatic,9,FWD,3.5,6,Sm SUV,Y,Natural,Premium,None,N
Acura,RDX FWD,24,Automatic,10,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Alfa Romeo,Giulia AWD,25.5433,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Alfa Romeo,Stelvio,25.3266,Automatic,8,RWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Aston Martin,Vantage V8,20.4155,Automatic,8,RWD,4,8,Two Seater,N,Turbo,Premium,None,N
Audi,A5 Cabriolet quattro,26.2623,Manual,7,AWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
Audi,Q7,18.4822,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,Hybrid,Y
Audi,R8 Spyder AWD,15.9153,Manual,7,AWD,5.2,10,Two Seater,Y,Natural,Premium,None,N
Audi,S6,21.5635,Automatic,8,AWD,2.9,6,Midsize,Y,Turbo,Premium,Hybrid,Y
Bentley,Bentayga,17.3377,Automatic,8,AWD,4,8,Std SUV,Y,Turbo,Premium,None,Y
Bentley,Continental GT Convertible,14.6616,Manual,8,AWD,6,12,Minicompact,Y,Turbo,Premium,None,Y
BMW,230i Convertible,27.0724,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,230i Coupe,27.2748,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,230i Coupe,24.9272,Manual,6,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,430i xDrive Gran Coupe,24.3879,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
BMW,440i Convertible,24.4977,Automatic,8,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,440i Coupe,24.9871,Automatic,8,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i Coupe,21.6548,Manual,6,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i xDrive Gran Coupe,24.8442,Automatic,8,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,540i,25.37,Automatic,8,RWD,3,6,Midsize,Y,Turbo,Premium,None,Y
BMW,840i xDrive Convertible,22.6982,Automatic,8,AWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,I8 Roadster,27.1257,Automatic,6,AWD,1.5,3,Two Seater,Y,Turbo,Premium,Plug-in Hybrid,Y
BMW,M2 CS Coupe,19.5165,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M235i xDrive,26.1835,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
BMW,M240i xDrive Coupe M Performance,24.8442,Automatic,8,AWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M4 Convertible,19.8307,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M4 Convertible,18.5025,Manual,7,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M4 Coupe Competition,18.8151,Manual,7,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,M8 Convertible,17.0858,Automatic,8,AWD,4.4,8,Subcompact,Y,Turbo,Premium,None,Y
BMW,M8 Gran Coupe,17.0858,Automatic,8,AWD,4.4,8,Midsize,Y,Turbo,Premium,None,Y
BMW,X3 M40i,23.1538,Automatic,8,AWD,3,6,Sm SUV,Y,Turbo,Premium,None,Y
BMW,X6 M50i,18.1312,Automatic,8,AWD,4.4,8,Std SUV,Y,Turbo,Premium,None,Y
BMW,X6 xDrive40i,22.2797,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,None,Y
BMW,Z4 M40i,26.4025,Automatic,8,RWD,3,6,Two Seater,Y,Turbo,Premium,None,Y
BMW,Z4 sDrive30i,27.2748,Automatic,8,RWD,2,4,Two Seater,Y,Turbo,Premium,None,Y
Bugatti,Chiron,10.5921,Manual,7,AWD,8,16,Two Seater,N,Turbo,Premium,None,N
Buick,Enclave AWD,20.0162,Automatic,9,AWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
Buick,Encore GX FWD,27.9466,CVT,1,FWD,1.2,3,Sm SUV,Y,Turbo,Regular,None,Y
Cadillac,CT4,27.159300000000002,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Cadillac,CT4 V,23,Automatic,10,RWD,2.7,4,Compact,Y,Turbo,Premium,None,Y
Cadillac,XT4 FWD,26.4849,Automatic,9,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Chevrolet,Blazer AWD,23.2617,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Chevrolet,Blazer FWD,24.0681,Automatic,9,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Chevrolet,Camaro,24.9925,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,N
Chevrolet,Colorado 4WD,22.3186,Automatic,6,4WD,2.8,4,Sm Pickup Truck,N,Turbo,Diesel,Diesel,Y
Chevrolet,Equinox FWD,25.3669,Automatic,9,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Chevrolet,Silverado 2WD,16.307,Automatic,6,RWD,5.3,8,Std Pickup Truck,Y,Natural,Regular,FFV,N
Chevrolet,Silverado 4WD,16.939,Automatic,6,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,N
Chevrolet,Silverado 4WD TrailBoss,18.2856,Automatic,8,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,Y
Chevrolet,Silverado 4WD TrailBoss,16,Automatic,6,4WD,4.3,6,Std Pickup Truck,Y,Natural,Regular,None,N
Chevrolet,Spark,32.5457,Manual,5,FWD,1.4,4,Subcompact,N,Natural,Regular,None,N
Chevrolet,Spark ACTIV,32,Manual,5,FWD,1.4,4,Subcompact,N,Natural,Regular,None,N
Chevrolet,Suburban K1500 4WD,15.9496,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Chevrolet,Suburban K1500 4WD,16.2524,Automatic,6,4WD,5.3,8,Std SUV,Y,Natural,Regular,None,N
Chevrolet,Traverse AWD,20.0908,Automatic,9,AWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
Chrysler,Pacifica,22.2452,Automatic,9,FWD,3.6,6,Minivan,N,Natural,Regular,None,Y
Dodge,Challenger,19.062,Automatic,8,RWD,5.7,8,Midsize,N,Natural,Mid,None,N
Dodge,Challenger SRT Widebody,15.3673,Automatic,8,RWD,6.2,8,Midsize,N,Super,Premium,None,N
Dodge,Durango RWD,16.9243,Automatic,8,RWD,5.7,8,Std SUV,N,Natural,Mid,None,N
Ferrari,F8 Tributo,16.3165,Manual,7,RWD,3.9,8,Two Seater,Y,Turbo,Premium,None,Y
Ferrari,GTC4Lusso,13.3849,Manual,7,PT 4WD,6.3,12,Minicompact,Y,Natural,Premium,None,Y
Ferrari,GTC4Lusso T,16.994,Manual,7,RWD,3.9,8,Minicompact,Y,Turbo,Premium,None,Y
Fiat,124 Spider,29.2998,Automatic,6,RWD,1.4,4,Two Seater,N,Turbo,Premium,None,N
Ford,EcoSport AWD,25,Automatic,6,AWD,2,4,Sm SUV,Y,Natural,Regular,None,Y
Ford,EcoSport FWD,27.9226,Automatic,6,FWD,1,3,Sm SUV,Y,Turbo,Regular,None,Y
Ford,Escape FWD,30.2418,Automatic,8,FWD,1.5,3,Sm SUV,Y,Turbo,Regular,None,Y
Ford,Explorer AWD,23.2015,Automatic,10,PT 4WD,2.3,4,Std SUV,Y,Turbo,Regular,None,Y
Ford,Explorer HEV RWD,27.6521,Automatic,10,RWD,3.3,6,Std SUV,Y,Natural,Regular,Hybrid,Y
Ford,Explorer RWD,24.2206,Automatic,10,RWD,2.3,4,Std SUV,Y,Turbo,Regular,None,Y
Ford,F150 Pickup 2WD FFV,21.7173,Automatic,6,RWD,3.3,6,Std Pickup Truck,N,Natural,Regular,FFV,Y
Ford,F150 Pickup 4WD,18.1783,Automatic,10,PT 4WD,3.5,6,Std Pickup Truck,Y,Turbo,Regular,None,Y
Ford,Fusion Hybrid Taxi,41,CVT,1,FWD,2,4,Midsize,N,Natural,Regular,Hybrid,Y
Ford,Mustang,18.3457,Manual,6,RWD,5,8,Subcompact,N,Natural,Regular,None,N
Ford,Mustang Convertible,23,Manual,6,RWD,2.3,4,Subcompact,Y,Turbo,Regular,None,N
Ford,Mustang Convertible,18.3437,Automatic,10,RWD,5,8,Subcompact,N,Natural,Regular,None,N
Ford,Mustang HO Coupe,22.8518,Manual,6,RWD,2.3,4,Subcompact,Y,Turbo,Regular,None,N
Ford,Shelby GT500 Mustang,14.0853,Manual,7,RWD,5.2,8,Subcompact,N,Super,Premium,None,N
Ford,Transit T150 Wagon 4WD FFV,15.8294,Automatic,10,AWD,3.5,6,Passenger Van,Y,Natural,Regular,FFV,N
Genesis,G80 AWD,17.7991,Automatic,8,AWD,5,8,Large,Y,Natural,Premium,None,N
Genesis,G90 RWD,20.2402,Automatic,8,RWD,3.3,6,Large,Y,Turbo,Premium,None,N
GMC,Canyon 2WD,20.1722,Automatic,8,RWD,3.6,6,Sm Pickup Truck,Y,Natural,Regular,None,N
GMC,Canyon 4WD,20.7689,Automatic,6,4WD,2.5,4,Sm Pickup Truck,Y,Natural,Regular,None,N
GMC,Sierra 4WD,16.9303,Automatic,10,4WD,6.2,8,Std Pickup Truck,Y,Natural,Premium,None,Y
GMC,Sierra 4WD,16.79,Automatic,6,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,N
GMC,Sierra 4WD AT4,17.2528,Automatic,10,4WD,6.2,8,Std Pickup Truck,Y,Natural,Premium,None,Y
GMC,Sierra 4WD AT4,16,Automatic,6,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,N
GMC,Yukon C1500 XL 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,FFV,N
GMC,Yukon C1500 XL 2WD,17.5914,Automatic,6,RWD,5.3,8,Std SUV,Y,Natural,Regular,None,N
GMC,Yukon K1500 4WD,16.8656,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
GMC,Yukon K1500 XL 4WD,15.9496,Automatic,10,4WD,6.2,8,Std SUV,Y,Natural,Premium,None,N
Honda,Accord,29.7143,Manual,6,FWD,1.5,4,Large,Y,Turbo,Regular,None,N
Honda,Accord,25.6759,Manual,6,FWD,2,4,Large,Y,Turbo,Regular,None,N
Honda,Civic 4Dr,33.2383,CVT,7,FWD,1.5,4,Midsize,Y,Turbo,Regular,None,N
Honda,CR-V FWD,30,CVT,1,FWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,N
Honda,Passport AWD,20.8521,Automatic,9,AWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Honda,Passport FWD,21.8669,Automatic,9,FWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Honda,Pilot FWD,22.7022,Automatic,9,FWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Honda,Ridgeline FWD,21.8873,Automatic,9,FWD,3.5,6,Sm Pickup Truck,Y,Natural,Regular,None,Y
Hyundai,Accent,32.6036,Manual,6,FWD,1.6,4,Compact,N,Natural,Regular,None,N
Hyundai,Elantra,34,CVT,1,FWD,2,4,Midsize,N,Natural,Regular,None,N
Hyundai,Elantra,29.1092,Manual,7,FWD,1.6,4,Midsize,Y,Turbo,Regular,None,N
Hyundai,Elantra GT,27.489,Automatic,6,FWD,2,4,Large,Y,Natural,Regular,None,N
Hyundai,Palisade FWD,21.9908,Automatic,8,FWD,3.8,6,Std SUV,Y,Natural,Regular,None,N
Hyundai,Sonata,31.7911,Automatic,8,FWD,2.5,4,Large,Y,Natural,Regular,None,Y
Hyundai,Sonata Hybrid,47.2269,Manual,6,FWD,2,4,Large,Y,Natural,Regular,Hybrid,Y
Hyundai,Veloster,28.9551,Manual,6,FWD,1.6,4,Compact,Y,Turbo,Regular,None,N
Infiniti,Q50,23.0508,Automatic,7,RWD,3,6,Midsize,Y,Turbo,Premium,None,N
Infiniti,Q50 AWD,21.8651,Automatic,7,AWD,3,6,Midsize,Y,Turbo,Premium,None,N
Infiniti,Q60,22.4496,Automatic,7,RWD,3,6,Subcompact,Y,Turbo,Premium,None,N
Infiniti,QX60 AWD,21.6894,CVT,7,AWD,3.5,6,Sm SUV,Y,Natural,Premium,None,N
Jaguar,E-Pace,23.8925,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Jaguar,XF,28.4037,Automatic,8,RWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Jaguar,XF AWD 30t,25.463,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Jaguar,XF Sportbrake AWD,24.0099,Automatic,8,AWD,2,4,Mid St Wagon,Y,Turbo,Premium,None,Y
Jeep,Cherokee 4WD Active Drive II,23.0251,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Jeep,Wrangler 4WD,20.4192,Automatic,8,4WD,3.6,6,Sm SUV,N,Natural,Regular,None,Y
Jeep,Wrangler Unlimited 4WD,21.4822,Automatic,8,4WD,2,4,Sm SUV,Y,Turbo,Regular,Hybrid,Y
Kia,Forte,31.0015,Manual,6,FWD,2,4,Midsize,N,Natural,Regular,None,N
Kia,Niro FE,50.4101,Manual,6,FWD,1.6,4,Sm St Wagon,Y,Natural,Regular,Hybrid,Y
Kia,Niro Plug-in Hybrid,46.4127,Manual,6,FWD,1.6,4,Sm St Wagon,Y,Natural,Regular,Plug-in Hybrid,Y
Kia,Optima,24.2002,Automatic,6,FWD,2,4,Large,Y,Turbo,Regular,None,N
Kia,Optima,27.2397,Automatic,6,FWD,2.4,4,Large,Y,Natural,Regular,None,N
Kia,Optima FE,28.7747,Automatic,6,FWD,2.4,4,Large,Y,Natural,Regular,None,N
Kia,Sorento AWD,23.055,Automatic,6,AWD,2.4,4,Sm SUV,Y,Natural,Regular,None,N
Kia,Sportage AWD,23.3388,Automatic,6,AWD,2.4,4,Sm SUV,Y,Natural,Regular,None,N
Kia,Stinger AWD,24.1415,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Kia,Stinger RWD,20.1077,Automatic,8,RWD,3.3,6,Midsize,Y,Turbo,Premium,None,Y
Lamborghini,Huracan,14.9899,Manual,7,AWD,5.2,10,Two Seater,Y,Natural,Premium,None,N
Lamborghini,Urus,13.9329,Automatic,8,AWD,4,8,Std SUV,Y,Turbo,Premium,None,Y
Land Rover,Discovery,17.7171,Automatic,8,4WD,3,6,Std SUV,Y,Super,Premium,None,Y
Land Rover,Range Rover Sport SVR,16.4401,Automatic,8,4WD,5,8,Std SUV,Y,Super,Premium,None,Y
Lexus,ES 350 F Sport,25.0685,Automatic,8,FWD,3.5,6,Midsize,Y,Natural,Regular,None,N
Lexus,NX 300 AWD F Sport,23.6858,Automatic,6,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,N
Lexus,RC 300 AWD,21,Automatic,6,AWD,3.5,6,Subcompact,Y,Natural,Premium,None,N
Lexus,RX 350 AWD,21.8285,Automatic,8,AWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Lexus,RX 450h AWD,29.7574,CVT,6,AWD,3.5,6,Std SUV,Y,Natural,Premium,Hybrid,Y
Lexus,RX 450h L AWD,29,CVT,6,AWD,3.5,6,Std SUV,Y,Natural,Premium,Hybrid,Y
Lincoln,Aviator PHEV AWD,22.8,Automatic,10,PT 4WD,3,6,Std SUV,Y,Turbo,Regular,Plug-in Hybrid,Y
Lincoln,Aviator RWD,21.0078,Automatic,10,RWD,3,6,Std SUV,Y,Turbo,Regular,None,Y
Lincoln,Continental  FWD,20.1608,Automatic,6,FWD,3.7,6,Large,N,Natural,Regular,None,N
Lincoln,MKZ Hybrid FWD,41,CVT,1,FWD,2,4,Midsize,N,Natural,Regular,Hybrid,Y
Maserati,Levante GTS,15.3607,Automatic,8,AWD,3.8,8,Std SUV,Y,Turbo,Premium,None,Y
Mazda,6,26.4147,Automatic,6,FWD,2.5,4,Midsize,Y,Turbo,Regular,None,N
Mazda,CX-30 4WD,26.4924,Automatic,6,4WD,2.5,4,Sm SUV,Y,Natural,Regular,None,N
Mazda,CX-5 4WD,26.2462,Automatic,6,4WD,2.5,4,Sm SUV,Y,Natural,Regular,None,N
Mercedes-Benz,A220,28.3488,Automatic,7,FWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG C43 4matic Convertible,21.0704,Automatic,9,4WD,3,6,Subcompact,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG C63,20.9747,Automatic,9,RWD,4,8,Compact,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG CLS53 4matic Plus,23.4607,Automatic,9,4WD,3,6,Compact,Y,Natural,Premium,Hybrid,Y
Mercedes-Benz,AMG E53 4matic Plus,24.01,Automatic,9,4WD,3,6,Midsize,Y,Natural,Premium,Hybrid,Y
Mercedes-Benz,AMG E53 4matic Plus Convertible,22.5517,Automatic,9,4WD,3,6,Subcompact,Y,Natural,Premium,Hybrid,Y
Mercedes-Benz,AMG E63 S 4matic Plus (wagon),18.5852,Automatic,9,4WD,4,8,Mid St Wagon,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG GLC43 4matic Coupe,20.5323,Automatic,9,4WD,3,6,Sm SUV,Y,Turbo,Premium,None,Y
Mercedes-Benz,C300 4matic,26.2415,Automatic,9,4WD,2,4,Compact,Y,Turbo,Premium,None,Y
Mercedes-Benz,E350,26.2664,Automatic,9,RWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Mercedes-Benz,E450 4matic (station wagon),21.8116,Automatic,9,4WD,3,6,Mid St Wagon,Y,Turbo,Premium,None,Y
Mercedes-Benz,E450 4matic Convertible,21.8041,Automatic,9,4WD,3,6,Subcompact,Y,Turbo,Premium,None,Y
Mercedes-Benz,E450 Convertible,22.6853,Automatic,9,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
Mercedes-Benz,E450 Coupe,22.9182,Automatic,9,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
Mercedes-Benz,GLA250 4matic,25.4592,Manual,7,4WD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Mercedes-Benz,Metris (Cargo Van),21.7289,Automatic,7,RWD,2,4,SPV,Y,Turbo,Premium,None,N
Mercedes-Benz,S560 4matic,20.7551,Automatic,9,4WD,4,8,Large,Y,Turbo,Premium,None,Y
Mercedes-Benz,S560 Convertible,20.1785,Automatic,9,RWD,4,8,Subcompact,Y,Turbo,Premium,None,Y
MINI,Cooper Hardtop 4 door,31.3799,Manual,7,FWD,1.5,3,Subcompact,Y,Turbo,Premium,None,Y
MINI,Cooper S Countryman,27.5119,Manual,7,FWD,2,4,Midsize,Y,Turbo,Premium,None,N
MINI,Cooper S Hardtop 4 door,29.7917,Manual,7,FWD,2,4,Subcompact,Y,Turbo,Premium,None,N
MINI,Cooper SE Countryman All4,29.4601,Automatic,6,AWD,1.5,3,Midsize,Y,Turbo,Premium,Plug-in Hybrid,Y
MINI,JCW Countryman All4,26.1323,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Mitsubishi,Eclipse Cross 4WD,25.3444,CVT,8,4WD,1.5,4,Sm SUV,Y,Turbo,Regular,None,N
Mitsubishi,Eclipse Cross ES 4WD,26.1535,CVT,8,4WD,1.5,4,Sm SUV,Y,Turbo,Regular,None,N
Mitsubishi,Mirage,36.398,Manual,5,FWD,1.2,3,Compact,N,Natural,Regular,None,N
Mitsubishi,Mirage G4,35,Manual,5,FWD,1.2,3,Compact,N,Natural,Regular,None,N
Mitsubishi,Outlander 4WD,22,Automatic,6,4WD,3,6,Sm SUV,N,Natural,Premium,None,N
Mitsubishi,Outlander Sport 2WD,26.5981,CVT,6,FWD,2,4,Sm SUV,N,Natural,Regular,None,N
Nissan,370Z,19.9574,Manual,6,RWD,3.7,6,Two Seater,N,Natural,Premium,None,N
Nissan,370Z Roadster,20.752,Automatic,7,RWD,3.7,6,Two Seater,N,Natural,Premium,None,N
Nissan,Pathfinder 4WD,22.1479,CVT,1,4WD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Nissan,Titan 2WD,18.1693,Automatic,9,RWD,5.6,8,Std Pickup Truck,Y,Natural,Premium,None,N
Nissan,Versa,35.088,CVT,1,FWD,1.6,4,Compact,N,Natural,Regular,None,N
Porsche,911 Carrera 4S,20,Manual,8,AWD,3,6,Minicompact,Y,Turbo,Premium,None,Y
Porsche,911 Carrera 4S,20,Manual,7,AWD,3,6,Minicompact,Y,Turbo,Premium,None,Y
Porsche,911 Carrera Cabriolet,19.6342,Manual,8,RWD,3,6,Minicompact,Y,Turbo,Premium,None,Y
Porsche,911 Carrera S Cabriolet,20,Manual,8,RWD,3,6,Minicompact,Y,Turbo,Premium,None,Y
Porsche,911 Carrera S Cabriolet,20,Manual,7,RWD,3,6,Minicompact,Y,Turbo,Premium,None,Y
Porsche,Cayenne,20.4628,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,None,Y
Porsche,Cayenne Coupe,20.2475,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,None,Y
Porsche,Cayenne S Coupe,19.1192,Automatic,8,AWD,2.9,6,Std SUV,Y,Turbo,Premium,None,Y
Porsche,Macan GTS,19.2975,Manual,7,AWD,2.9,6,Sm SUV,Y,Turbo,Premium,None,Y
Porsche,Panamera 4,22.3176,Manual,8,4WD,3,6,Large,Y,Turbo,Premium,None,Y
Porsche,Panamera GTS ST,18.2114,Manual,8,AWD,4,8,Large,Y,Turbo,Premium,None,Y
Porsche,Panamera Turbo,20.9847,Manual,8,AWD,4,8,Large,Y,Turbo,Premium,None,Y
Porsche,Panamera Turbo S e-Hybrid,20.4,Manual,8,AWD,4,8,Large,Y,Turbo,Premium,Plug-in Hybrid,Y
Porsche,Panamera Turbo S e-Hybrid ST,20.4,Manual,8,AWD,4,8,Large,Y,Turbo,Premium,Plug-in Hybrid,Y
Porsche,Panamera Turbo ST,19.7064,Manual,8,AWD,4,8,Large,Y,Turbo,Premium,None,Y
Ram,1500 2WD,17.2673,Automatic,8,RWD,5.7,8,Std Pickup Truck,N,Natural,Mid,None,Y
Ram,1500 2WD,26.0473,Automatic,8,RWD,3,6,Std Pickup Truck,N,Turbo,Diesel,Diesel,N
Ram,1500 Classic 2WD,19.7182,Automatic,8,RWD,3.6,6,Std Pickup Truck,N,Natural,Regular,None,N
Ram,1500 Classic 2WD,17.3529,Automatic,8,RWD,5.7,8,Std Pickup Truck,N,Natural,Mid,None,N
Rolls-Royce,Phantom,14.391,Automatic,8,RWD,6.7,12,Large,Y,Turbo,Premium,None,N
Subaru,Impreza 4-Door,31.362,CVT,7,AWD,2,4,Midsize,Y,Natural,Regular,None,N
Subaru,Impreza 5-Door,26.4104,Manual,5,AWD,2,4,Sm St Wagon,Y,Natural,Regular,None,N
Subaru,Impreza Sport 4-Door,30.443,CVT,7,AWD,2,4,Midsize,Y,Natural,Regular,None,N
Subaru,Legacy AWD,30.0538,CVT,8,AWD,2.5,4,Large,Y,Natural,Regular,None,N
Subaru,Legacy AWD,26.919,CVT,8,AWD,2.4,4,Large,Y,Turbo,Regular,None,Y
Toyota,4Runner 2WD,17.4613,Automatic,5,RWD,4,6,Std SUV,N,Natural,Regular,None,N
Toyota,86,23.7198,Manual,6,RWD,2,4,Minicompact,Y,Natural,Premium,None,N
Toyota,Avalon Hybrid XLE,43.6328,CVT,6,FWD,2.5,4,Midsize,Y,Natural,Regular,Hybrid,Y
Toyota,Camry,26.1901,Automatic,8,FWD,3.5,6,Midsize,Y,Natural,Regular,None,N
Toyota,Camry AWD LE/SE,28.5883,Automatic,8,AWD,2.5,4,Midsize,Y,Natural,Regular,None,N
Toyota,Camry Hybrid LE,51.7504,CVT,6,FWD,2.5,4,Midsize,Y,Natural,Regular,Hybrid,Y
Toyota,Camry LE/SE,31.8036,Automatic,8,FWD,2.5,4,Midsize,Y,Natural,Regular,None,N
Toyota,Corolla XLE,32.2043,CVT,1,FWD,1.8,4,Compact,N,Natural,Regular,None,N
Toyota,GR Supra,26.4025,Automatic,8,RWD,3,6,Two Seater,Y,Turbo,Premium,None,Y
Toyota,Highlander Hybrid,35.8587,CVT,6,FWD,2.5,4,Sm SUV,Y,Natural,Regular,Hybrid,Y
Toyota,Prius AWD,50,CVT,1,PT 4WD,1.8,4,Midsize,N,Natural,Regular,Hybrid,Y
Toyota,Prius Eco,55.7,CVT,1,FWD,1.8,4,Midsize,N,Natural,Regular,Hybrid,Y
Toyota,Prius Prime,54.4329,CVT,1,FWD,1.8,4,Midsize,N,Natural,Regular,Plug-in Hybrid,Y
Toyota,Tacoma 4WD,20.0556,Automatic,6,PT 4WD,2.7,4,Sm Pickup Truck,N,Natural,Regular,None,N
Toyota,Yaris,34.2683,Manual,6,FWD,1.5,4,Compact,Y,Natural,Regular,None,N
Toyota,Yaris,35,Automatic,6,FWD,1.5,4,Compact,Y,Natural,Regular,None,N
Volkswagen,Arteon,25.0272,Automatic,8,FWD,2,4,Sm St Wagon,Y,Turbo,Premium,None,Y
Volkswagen,Atlas Cross Sport,22.1829,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Volkswagen,Atlas Cross Sport,19.211,Automatic,8,FWD,3.6,6,Sm SUV,Y,Natural,Regular,None,Y
Volkswagen,Atlas Cross Sport 4motion,20.0891,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Volkswagen,Golf,30.9111,Manual,6,FWD,1.4,4,Compact,Y,Turbo,Regular,None,N
Volkswagen,GTI,27.0113,Manual,7,FWD,2,4,Compact,Y,Turbo,Regular,None,Y
Volkswagen,Passat,26.9474,Automatic,6,FWD,2,4,Midsize,Y,Turbo,Regular,None,Y
Volkswagen,Tiguan,24.91,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Volvo,S60 FWD,27.389,Automatic,8,FWD,2,4,Compact,Y,Turbo,Premium,None,Y
Volvo,XC60 FWD,24.4149,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Volvo,XC90 AWD,22.9931,Automatic,8,AWD,2,4,Std SUV,Y,Turbo,Premium,None,Y
Volvo,XC90 FWD,24.5182,Automatic,8,FWD,2,4,Std SUV,Y,Turbo,Premium,None,Y
